#一行目は読み飛ばす
ナカノヒトゲノム
からかい上手の高木さん
あんさんぶるスターズ
ビジネスフィッシュ
指先から本気の熱情
ヴィンランド サガ
可愛ければ変態でも好きになってくれますか
胡蝶綺
ありふれた職業で世界最強
コップクラフト
異世界チート魔術師
ギヴン
まちカドまぞく
とある科学の一方通行
通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか
ダンジョンに出会いを求めるのは間違っているだろうか
BEM
ざんねんないきもの事典
トライナイツ
大好きだったあなたへ
カードファイト!! ヴァンガード
かいじゅうステップ
あひるの空
ラディアン
浦島坂田船の日常
旗揚 けものみち
慎重勇者
俺を好きなのはお前だけかよ
本好きの下剋上
放課後さいころ倶楽部
シルバニアファミリー
超人高校生たちは異世界でも余裕で生き抜くようです
アズールレーン
ぬるぺた
ゾイドワイルド
厨病激発ボーイ
GRANBLUE FANTASY
アイカツオンパレード
魔入りました 入間くん
戦×恋
Fate/Grand Order
ぼくたちは勉強ができない
この音とまれ
耐え子の日常
警視庁 特務部 特殊凶悪犯対策室 第七課
ACTORS Songs Connection
Fairy gone 
XL上司
アフリカのサラリーマン
兄に付ける薬はない
スタンドマイヒーローズ PIECE OF TRUTH
私、能力は平均値でって言ったよね
ファンタシースターオンライン
バビロン
エイリは王さま
Z/X
神田川JET GIRLS
七つの大罪
ポンコツクエスト
BEASTARS
アサシンズプライド
ノー ガンズ ライフ
星合の空
食戟のソーマ
歌舞伎町シャーロック
中華一番
僕のヒーローアカデミア
ガンダムビルドダイバーズRe:RISE
ソードアート・オンライン
天華百剣
ライフル イズ ビューティフル
ちはやふる
PSYCHO-PASS
ハイスコアガール
